"userid","userlocation","statusid","statustime","tweet"
"797103046824226816","Beautiful Northern Michigan","853745705990725632","2017-04-16 23:03:32","@realDonaldTrump  I bet the impeachment celebration is 10 times bigger than your pitiful inauguration fiasco. So sad!"
"41147623","Chicago, Lansing, Illinois","853745569092784128","2017-04-16 23:03:00","DONALD TRUMP CANNOT FACE THE TRUTH OF THE INTELLIGENCE COMMUNITY! It would be like Dracula bathing himself in sunlight!"
"41147623","Chicago, Lansing, Illinois","853745447923580929","2017-04-16 23:02:31","Donald Trump - is a FRAUD!"
"41147623","Chicago, Lansing, Illinois","853745362565312517","2017-04-16 23:02:10","DONALD TRUMP IS A FRAUDULENT, FAKE PRESIDENT!"
"3007012705","Michigan, USA","853745346429812736","2017-04-16 23:02:07","@realDonaldTrump -Happy Easter President Trump to you and your family! Many blessings!"
"25948457","Michigan","853745261444829184","2017-04-16 23:01:46","@realDonaldTrump Oh, is that how you got people to come to your sparsely attended rallies and inauguration?"
"829431369759498241","Michigan, USA","853744239322288128","2017-04-16 22:57:43","@realDonaldTrump release your tax returns."
"41147623","Chicago, Lansing, Illinois","853743595219714048","2017-04-16 22:55:09","TAKE NOTICE: Donald Trump LIES about his LIES!"
"836778127821049856","Michigan, USA","853743510045982720","2017-04-16 22:54:49","@NEPhotoNews @ChrisCoxNRA @NRA @POTUS @TheRickWilson @maddow Your post is stupid."
"18663584","Michigan, USA","853743291375988739","2017-04-16 22:53:57","@DRUDGE_REPORT He left the White House as a multi multi millionaire. What a crook!"
"25948457","Michigan","853743247449092096","2017-04-16 22:53:46","@realDonaldTrump Yeah, and semeone should look into your Russian connections, oh wait...."
"834156584607612928","Michigan, USA","853742625794424832","2017-04-16 22:51:18","@left_aardvark Please make sure all those Trump voters see this.  They should be really proud of their candidate.  #firethefool"
"2742595287","Michigan, USA","853742621583433729","2017-04-16 22:51:17","@realDonaldTrump Especially with you on the verge of causing WWIII"
"457985912","Royal Oak, Michigan, USA","853742615619133449","2017-04-16 22:51:15","@realDonaldTrump Rallies are legal. Foreign governments owning you is not. Prove that you have nothing to hide."
"25986602","Flint, Michigan","853742576654061568","2017-04-16 22:51:06","@POTUS I was a Paramedic in San Bernardino,CA. in the 80""s and witnessed VA  abuses of vets first hand and know you will FIX IT!"
"41147623","Chicago, Lansing, Illinois","853742343131975683","2017-04-16 22:50:11","TAKE NOTICE: Donald Trump LIES about his LIES!
DONALD TRUMP is a LIVING, LYING-MACHINE!"
"775374224034783232","Michigan, USA","853742308340248576","2017-04-16 22:50:02","@realDonaldTrump You know Eve 2.0 cheated. Get off my back hypocrite."
"18663584","Michigan, USA","853742192850083841","2017-04-16 22:49:35","@Americooligan Trump is technically paying you...with lower taxes, and higher wages both go to you...so technically lol #maga"
"3093650512","Michigan","853742118602498051","2017-04-16 22:49:17","@Sherri_Wag @Mikel_Jollett No, but the OP, Mikel, is probably an anti Trump snowflake."
"37683692","MOTOR CITY, MICHIGAN","853741863999811584","2017-04-16 22:48:16","Trump too busy golfing in Florida to do Easter eggs hunts with the kids, huh?  or did i just miss the traditional presidential photo op?"
"189607183","Michigan","853741548118450177","2017-04-16 22:47:01","Trump has no idea how much Americans love to have fun piling up on a bully who is losing a fight.  His chance at gaining respect is gone."
"461320054","Holly, Michigan","853741367620775936","2017-04-16 22:46:18","@POTUS Happy Easter to my President and his family"
"41147623","Chicago, Lansing, Illinois","853741347030937602","2017-04-16 22:46:13","STAND UP AMERICA &amp; PUNCH DONALD TRUMP, TED CRUZ &amp; the NEO-CONFEDERATE Republican/Tea Party DEVILS in the NOSE!"
"729639848928235521","Alpena Michigan","853741329020530688","2017-04-16 22:46:09","@IlerShulman @RobertMaguire_ @realDonaldTrump Your a loser. Trumps the winner. Lol"
"25986602","Flint, Michigan","853741273332764673","2017-04-16 22:45:55","@POTUS when you treat a persons VA NUMBER/card with more importance than the vet you will never get care right!"
"41147623","Chicago, Lansing, Illinois","853740921212592128","2017-04-16 22:44:32","NO MORAL &amp; SELF-RESPECTING American would ever vote for DONALD TRUMP!"
"41147623","Chicago, Lansing, Illinois","853740680849575936","2017-04-16 22:43:34","YOU MORONS WHO SUPPORT DONALD TRUMP: Go back &amp; learn about Hitler, Mussolini, the Nazis, &amp; fascism!"
"836778127821049856","Michigan, USA","853740455854579712","2017-04-16 22:42:41","@joepabike @realDonaldTrump Joe you do not know how to read the financial disclosure document?  Hm. Do u know what it is."
