"userid","userlocation","statusid","statustime","tweet"
"1310746040","NYC","853745831408807936","2017-04-16 23:04:02","""Luke Donald finishes 2nd at The Heritage"" is just a repeating headline for eternity, it seems."
"837817449395470336","New York, USA","853745555327115264","2017-04-16 23:02:56","@margeb362 @HuffingtonPost So true, there all over trump! Up in his face! Fake news"
"396347709","Miami,New York,Ohio","853745440310931456","2017-04-16 23:02:29","@realDonaldTrump who the hell i going to pay 1,000 of #protests to march in the street? really? wow you are stupid #TrumpImpeachmentParty"
"357870661","New York, NY","853745151046451201","2017-04-16 23:01:20","@spnbmb @Impeach_D_Trump Not on the list."
"812112428636852225"," New York NY","853745121484955649","2017-04-16 23:01:13","@tedlieu @anne_stephen5 @realDonaldTrump With the capability to destroy all life just once..who pushes the button the second time?"
"557420540","New York, NY","853745008842854400","2017-04-16 23:00:46","Fuck Donald Trump"
"810987128041644032","New York, USA","853744879830265858","2017-04-16 23:00:15","@realDonaldTrump keep Bannon by your side. He understands we the People. The RINOs understand how to sell us out with the Dems"
"94301620","Alabama/LA/NYC","853744649583734784","2017-04-16 22:59:20","He called me an ""anti trump activist""..... how in any piece of the fuck did that have to do with Trump???"
"51212052","New York, NY","853744596853047296","2017-04-16 22:59:08","Failing @realDonaldTrump you are a feckless nit.  Worst president ever.  I mean THE WORST.  Careless, clueless pigsnot vomitface.  #AARGH!"
"1493135106","New York, NY","853744303365140480","2017-04-16 22:57:58","@realDonaldTrump No one paid me to protest, and I can prove it by showing you my tax returns. Can you say the same about Putin paying you?"
"26244428","New York","853744111735767041","2017-04-16 22:57:12","@realDonaldTrump Jobs jobs jobs!"
"341636436","NYC","853743967653036036","2017-04-16 22:56:38","@realDonaldTrump Frankly, those sad trips to that overpriced dump in FL are even more pathetic. No class at all."
"18560439","Malta,NY","853743891820011521","2017-04-16 22:56:20","#NorthKorea has had almost as many failed missile launches as @realDonaldTrump has failed businesses.@POTUS #notmypresident"
"829475202719432704","New York, NY","853743776698904576","2017-04-16 22:55:52","@StopTrump2020 @oreillyfactor Trump will join them for desert, a very #bigly  chocolate cake."
"88342584","New York City","853743479264088064","2017-04-16 22:54:41","@realDonaldTrump Have you picked your church yet?? Past (real) Presidents established this by now."
"55910287","New York, USA","853743456434495488","2017-04-16 22:54:36","@realDonaldTrump Happy Easter to you and your family"
"812112428636852225"," New York NY","853743351199182848","2017-04-16 22:54:11","@fawfulfan @KatCapps @realDonaldTrump Let sleeping dogs lie.Pun intended"
"55910287","New York, USA","853743311609311232","2017-04-16 22:54:01","@realDonaldTrump All of these ""PROTESTS"" or as I call them DOMESTIC TERRORISTS are funded by @georgesoros"
"829475202719432704","New York, NY","853743276024791041","2017-04-16 22:53:53","@TrumpianPoet @POTUS Despite the relation
Without hesitation,
His wife ought to take him
On permanent vacation."
"262865808","NYC LA IRE Japan","853743203408904192","2017-04-16 22:53:36","@aravosis Departing the taxpayers plane, again, after another $3,000,000.00 weekend vacation at Mary-Lego. @potus p.s. taxpayers expense."
"763525793402261504","New York, USA","853743124123877376","2017-04-16 22:53:17","@Truth_Bombers @CNN Oh they are and do (all is good trump is bad )"
"80998360","New York City","853743091047706626","2017-04-16 22:53:09","@Amtrak WTF?  Service #sucks Train 2275 endless delays &amp; no word. Get your act together or you deserve to be out of business under #Trump"
"3734831","NYC/Montreal","853742943236112384","2017-04-16 22:52:34","Just when you thought no one could top America in self-inflicted political wound with Trump, the Turks step up &amp; make Erdogan their sultan."
"1011574952","New York","853742916203945987","2017-04-16 22:52:27","@realDonaldTrump if you destroy my healthcare options then I am having all my medical bills and they are a lot send to you for payment"
"825549681115721728","New York, USA","853742889809043456","2017-04-16 22:52:21","@chisgran2002 @taxmarch @IMPL0RABLE @realDonaldTrump So true and so sad for us."
"706798602","NYC","853742757344669698","2017-04-16 22:51:49","@HenrySommo @hummingbird_a He, Wallace and Shepard Smith are looking for a needle in a haystack with President Trump, despicable."
"4559558295","New York, NY","853742730320769024","2017-04-16 22:51:43","@KassyDillon Trump win in SPITE of Ben Shapiro"
"819632990733082624","new york","853742718387990529","2017-04-16 22:51:40","Trump should spend a couple of extra bucks and expand that wall between California and the US"
"64657863","New York, NY","853742677740974081","2017-04-16 22:51:30","To create a quid pro quo, where none should exist, as @realDonaldTrump appears to have done with China, is just bad negotiating."
"793733773","New York City","853742626331398146","2017-04-16 22:51:18","When will so-called conservative commentators cop to the racism of Trump voters? Populism my a**. #ThePoint"
"287409593","Upstate New York","853742573319356417","2017-04-16 22:51:05","@nytgraphics @nytimes Trump just keeps on winning."
"88342584","New York City","853742473147015168","2017-04-16 22:50:42","@realDonaldTrump It was Pence!!!"
"825507350094151681","New York, USA","853742449814065153","2017-04-16 22:50:36","@MommaTNYC @KayeLane77 @DavidTa84534406 @ChrisMcTague3 @amjoyshow Trump is the Best President You are Brainwashed by a fascist party"
"777325589170688000","New York, NY","853742432030208003","2017-04-16 22:50:32","@gholtron @ByErinWeaver @Heddar_Lauren @camillepark @realDonaldTrump Eat shit, asshole."
"88342584","New York City","853742242477080576","2017-04-16 22:49:47","@realDonaldTrump Oh we have a CHOICE.. We can get deferments..Remember those???"
"847507932811894785","New York, USA","853742168313389059","2017-04-16 22:49:29","@realDonaldTrump Truly bizarre to tweet about military strength on Easter!  What the hell is wrong with you?  Pathetic LOSER!"
"55910287","New York, USA","853742151716438020","2017-04-16 22:49:25","@realDonaldTrump Stop with the someone your top cop @jeffsessions @jeffsescan look into it"
"276661584","NYC","853742135044177920","2017-04-16 22:49:21","Now think about what John Lennon would say about Donald Trump."
"443681435","New York, USA","853742119445516289","2017-04-16 22:49:17","@fawfulfan @realDonaldTrump I think he meant ""the election is over?"""
"287409593","Upstate New York","853741931397922816","2017-04-16 22:48:32","@nytimes Trump wins hands down!"
"755964849339764736","New York, USA","853741823013027842","2017-04-16 22:48:07","@cephrad1 @MSignorile @Martina ""Donald"" as a given has had its day- the association will forever be negative"
"39354984","NYC","853741751395332097","2017-04-16 22:47:49","@realDonaldTrump #kimjongun   Same hair dresser?"
"2881745580","NYC","853741645858131968","2017-04-16 22:47:24","@realDonaldTrump get FUKD you ignorant lying POS. 

Your impeachment is coming."
"1231419361","New York City","853741587775578112","2017-04-16 22:47:10","@realDonaldTrump And your corruption and massive con are not over!"
"732381687984861184","New York, USA","853741550941110272","2017-04-16 22:47:02","@seanhannity Happy Easter Sean. Keep supporting and standing behind our POTUS and great VP Pence"
"2482513555","New York","853741387598233601","2017-04-16 22:46:23","@ErikSparks2 Jobs? ROFL!! Every single job increase that has happened in the last 3 months is because of actions taken by Obama. Not Trump."
"20913156","western new york","853741317519806465","2017-04-16 22:46:06","@realDonaldTrump Frankly, we have no choice but to impeach your sorry ass .Your ego and arrogance is your greatest enemy #Fuckface45"
"2370108617","NEW YORK","853741168877850624","2017-04-16 22:45:31","@vertigo7804 @Impeach_D_Trump I understand that you liberals need a REASON why corruptHillary lost. So keep pushing your FAKE NEWS."
"1556938224","Saratoga Springs, New York ","853741162779344896","2017-04-16 22:45:29","@DonaldJTrumpJr @realDonaldTrump Yea, at taxpayer expense....Trumps are a bunch of leeches."
"2406284104","New York, USA","853740767898198016","2017-04-16 22:43:55","@realDonaldTrump But you did say it though. Your selective amnesia means absolutely nothing"
"837817449395470336","New York, USA","853740639430815744","2017-04-16 22:43:24","@krobin1014 @politico @realDonaldTrump Oh yea us deplorables are so violent!"
"341636436","NYC","853740536787763200","2017-04-16 22:43:00","@realDonaldTrump No one likes you or your sad little life. Your greedy kids are no better than you or your equally greedy father."
"1697571392","New York, USA","853740496753229826","2017-04-16 22:42:50","@TheRickWilson @kinzerillo @realDonaldTrump Since when does anybody care if FatGloriousLeader is annoyed ? @potus hates Puppies."
"238782335","New York City","853740489941626888","2017-04-16 22:42:49","if you cooked donald trump his meat would almost definitely be the color of a moist baked ham anyway happy easter may jesus be with you"
"275216870","Beacon/NYC","853740339483607045","2017-04-16 22:42:13","@DanielZent @realDonaldTrump ""Diluted"" and ""deluded"" are different words, for crying out loud."
"21901503","Tor-NYC-LA-SC-Lon","853740293434245121","2017-04-16 22:42:02","@FoxNews in an era of immense  geopolitical tensions&amp;conflicts created by failed Obama foreign policies,Trump mantra peace through strength!"
"38514525","Syracuse, New York","853740237260042241","2017-04-16 22:41:48","@realDonaldTrump We do have a choice but you need to compensate for your little.
.
.
.
.
.
.
.
hands"
"716659085530251269","New York","853740163368976384","2017-04-16 22:41:31","@NewYorker Donald Trump being elected President saved Colbert from getting canceled. His ratings were dismal."
"2513192018","NYC","853740059257974788","2017-04-16 22:41:06","@realDonaldTrump You lie and flip flop daily"
"797101164017975296","New York, NY","853740025493762052","2017-04-16 22:40:58","@RealDonaldTrump keeps using work email to invite people to watch ""Scandal"" at his house #NEWS"
"793733773","New York City","853739975732584449","2017-04-16 22:40:46","Incompetence, ineptitude, ignorance. @ChristinaGreer nailed @POTUS in 3 words. #ThePoint"
"715631028354813952","New York, USA","853739767506272262","2017-04-16 22:39:56","@JeffreyLuscombe Bruce can go fuck himself, apparently he can do that now. He can do it while bending over for, and praising, Trump."
"449902177","New York, United States","853739745280700420","2017-04-16 22:39:51","@realDonaldTrump The election is over, and your reign will soon be over as well.

#RoastThatPig"
"824089253005131776","New York, NY","853739343948787712","2017-04-16 22:38:15","@mitchellvii What could be better? Trump 2020."
"852187551498735616","New York, NY","853739265834070016","2017-04-16 22:37:57","@FoxNews @SebGorka @POTUS Give President Obama a break. At Least President Obama was a Better President than Donald."
"38514525","Syracuse, New York","853739244434620417","2017-04-16 22:37:52","@realDonaldTrump And they will continue to be brought up until you release your tax returns. #ReleaseYourTaxes"
"25097234","NYC ","853739203141791744","2017-04-16 22:37:42","@realDonaldTrump Just show them to the American people like every other president before you. You are not special"
"5749482","Brooklyn, New York","853739137429622784","2017-04-16 22:37:26","Hey pundits, let me put this to rest for you. TRUMP SUPPORTERS *DO NOT CARE* ABOUT POLICY. They voted for whiteness over all else. #ThePoint"
"16048436","New York","853739080970121216","2017-04-16 22:37:13","@tedlieu They are trying to use NKorea to distract from the MOAB headed the way of Team Trump this week."
"18532087","New York, usually.","853738877697355779","2017-04-16 22:36:24","@DrJenGunter Peter Pan? Waiting to eat Hook, or that ManBoy Trump?"
"54472408","New York, USA","853738874723610624","2017-04-16 22:36:24","@DonaldJTrumpJr @realDonaldTrump Schneiderman &amp; Bharara. Have an Easter Basket for you. #TrumpRussia#MayflowerScandal"
"827232446391410688","New York, USA","853738661007040517","2017-04-16 22:35:33","@sovietfuntime2 Or you can just be anti Trump and recognize he is corrupt and filthy as shit."
"21194697","New York","853738273335914496","2017-04-16 22:34:00","@realDonaldTrump 
Judas, you sold those that supported and stood by you, shame on you."
"135438151","Rotterdam / Aleppo / New York","853738256416083968","2017-04-16 22:33:56","@CNNPolitics Even more people than at @realDonaldTrump inauguration"
"1657736486","NYC area","853738223037812737","2017-04-16 22:33:48","@realDonaldTrump the election might be over but the pressure on you has just begun.#illegitimatePresident #lostpopvote #russia #russiagate"
"22340230","New York, NY","853738091701559296","2017-04-16 22:33:17","I know everyone is laughing because Alec Baldwin is playing Trump on SNL but when do we acknowledge he hooked up with an underage girl..."
"188550805","Boston and NYC","853738029739102208","2017-04-16 22:33:02","Trump skipped church and dodged his family today. Happy Easter!"
"144325625","New York, NY","853737918019629056","2017-04-16 22:32:35","In many ways Trump acts like your grumpy old grandfather who made his money as a slumlord would have acted if elected. Damn government!!"
"153675227","New York, USA","853737846406078464","2017-04-16 22:32:18","@realDonaldTrump How about just release your tax returns? You not releasing them just proves you have something to hide."
"452752739","New York, New York","853737573059104770","2017-04-16 22:31:13","@laurenduca Of course, we could Trump could cause the deaths of tens of millions of S. Koreans and Japanese, which is also not cool."
"153675227","New York, USA","853737561558323201","2017-04-16 22:31:11","@realDonaldTrump Omg stop with that! Nobody is being paid - you are genuinely unliked by many people for many reasons!"
"145255647","New York ","853737522945458176","2017-04-16 22:31:01","@realDonaldTrump Even the Pope hates you. And Jesus sure does."
"338105927","NYC","853737344914141188","2017-04-16 22:30:19","@POTUS happy easter to you and your family!"
